,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,-0.012299843936248243,0.021109153894782958,8.673617379884035e-19,-0.028048694035698627,0.09679246771369732
19,180,600,90,50,-0.01229984393624823,0.021109153894782955,-7.806255641895632e-18,0.030386085205340075,0.09679246771369732
82,120,500,80,30,0.017457843006287888,0.000811890534414739,1.734723475976807e-18,-0.028048694035698523,0.09679246771369732
97,140,400,80,40,0.007538614025442491,-0.019485372825953466,0.0,0.0011686955848207656,0.09679246771369732
56,190,500,90,50,-0.017259458426671016,0.0008118905344146644,-3.469446951953614e-18,0.03038608520534005,0.09679246771369732
12,130,600,90,40,0.01249822851586516,0.02110915389478306,5.204170427930421e-18,0.001168695584820776,0.09679246771369732
132,160,400,90,30,-0.00238061495540293,-0.019485372825953532,1.734723475976807e-18,-0.02804869403569856,0.09679246771369732
65,160,500,90,40,-0.002380614955402899,0.0008118905344146922,0.0,0.0011686955848207274,0.09679246771369732
66,180,500,80,50,-0.012299843936248216,0.0008118905344147399,-8.673617379884035e-19,0.030386085205340186,0.09679246771369732
18,130,500,80,50,0.01249822851586507,0.0008118905344146315,-1.734723475976807e-18,0.030386085205340113,0.09679246771369732
51,150,500,90,40,0.0025789995350197527,0.0008118905344146297,0.0,0.0011686955848206546,0.09679246771369732
78,140,400,90,40,0.007538614025442491,-0.019485372825953466,0.0,0.0011686955848207656,0.09679246771369732
94,170,500,80,40,-0.007340229445825578,0.0008118905344147304,0.0,0.0011686955848207482,0.09679246771369732
133,190,400,80,40,-0.01725945842667089,-0.019485372825953483,0.0,0.0011686955848208246,0.09679246771369732
100,180,600,90,30,-0.012299843936248243,0.021109153894782958,8.673617379884035e-19,-0.028048694035698627,0.09679246771369732
64,160,400,90,50,-0.002380614955402975,-0.019485372825953525,-3.469446951953614e-18,0.030386085205340085,0.09679246771369732
27,190,600,90,50,-0.017259458426670878,0.02110915389478303,-3.469446951953614e-18,0.03038608520534014,0.09679246771369732
69,150,600,90,30,0.002578999535019843,0.021109153894782996,3.469446951953614e-18,-0.028048694035698596,0.09679246771369732
125,160,500,80,30,-0.0023806149554028606,0.0008118905344147286,0.0,-0.02804869403569852,0.09679246771369732
73,180,600,80,40,-0.01229984393624823,0.021109153894782965,-8.673617379884035e-19,0.001168695584820723,0.09679246771369732
11,120,500,80,50,0.017457843006287676,0.0008118905344145916,0.0,0.030386085205340006,0.09679246771369732
119,170,500,90,30,-0.00734022944582554,0.0008118905344147234,-1.734723475976807e-18,-0.02804869403569852,0.09679246771369732
110,160,500,90,30,-0.0023806149554028606,0.0008118905344147286,0.0,-0.02804869403569852,0.09679246771369732
113,130,400,90,30,0.012498228515865187,-0.01948537282595346,1.734723475976807e-18,-0.028048694035698506,0.09679246771369732
55,160,600,80,40,-0.0023806149554028086,0.021109153894783073,0.0,0.0011686955848207968,0.09679246771369732
45,160,500,80,50,-0.002380614955402878,0.0008118905344148171,0.0,0.03038608520534019,0.09679246771369732
9,140,600,80,50,0.007538614025442317,0.021109153894782854,-6.938893903907228e-18,0.03038608520533999,0.09679246771369732
4,120,500,90,50,0.017457843006287676,0.0008118905344145916,0.0,0.030386085205340006,0.09679246771369732
26,140,500,80,50,0.0075386140254424285,0.0008118905344147061,-3.469446951953614e-18,0.030386085205340103,0.09679246771369732
