,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,5.5599363375217905,-7.125761818385442,2.0079071817433203,8.031828843298312,89.24542710738083
19,180,600,90,50,5.5599363375217905,-7.125761818385448,-2.08986257691648,-8.701147913573188,89.24542710738083
82,120,500,80,30,-7.891522543579249,-0.27406776224562535,2.0079071817433203,8.031828843298308,89.24542710738083
97,140,400,80,40,-3.4077029165455244,6.577626293894274,2.0079071817433602,-0.3346595351374102,89.24542710738083
56,190,500,90,50,7.801846151038536,-0.2740677622456342,-2.08986257691655,-8.701147913573163,89.24542710738083
12,130,600,90,40,-5.649612730062447,-7.125761818385507,-2.089862576916553,-0.33465953513743685,89.24542710738083
132,160,400,90,30,1.0761167104881117,6.577626293894315,-2.089862576916498,8.031828843298342,89.24542710738083
65,160,500,90,40,1.0761167104880585,-0.27406776224562623,-2.0898625769165458,-0.33465953513746793,89.24542710738083
66,180,500,80,50,5.559936337521776,-0.27406776224557117,2.0079071817433682,-8.701147913573166,89.24542710738083
18,130,500,80,50,-5.649612730062426,-0.27406776224564844,2.007907181743316,-8.701147913573195,89.24542710738083
51,150,500,90,40,-1.1657931030286939,-0.2740677622455605,-2.089862576916498,-0.3346595351373889,89.24542710738083
78,140,400,90,40,-3.4077029165456096,6.577626293894284,-2.0898625769165404,-0.33465953513742264,89.24542710738083
94,170,500,80,40,3.318026524004946,-0.2740677622455534,2.007907181743379,-0.3346595351374173,89.24542710738083
133,190,400,80,40,7.801846151038532,6.577626293894252,2.007907181743274,-0.3346595351374617,89.24542710738083
100,180,600,90,30,5.559936337521783,-7.1257618183854525,-2.089862576916495,8.031828843298305,89.24542710738083
64,160,400,90,50,1.076116710488055,6.577626293894242,-2.089862576916498,-8.701147913573191,89.24542710738083
27,190,600,90,50,7.8018461510385855,-7.125761818385447,-2.0898625769165093,-8.701147913573145,89.24542710738083
69,150,600,90,30,-1.165793103028772,-7.125761818385462,-2.089862576916496,8.031828843298342,89.24542710738083
125,160,500,80,30,1.0761167104881473,-0.27406776224553386,2.0079071817433762,8.031828843298324,89.24542710738083
73,180,600,80,40,5.559936337521783,-7.125761818385486,2.0079071817433327,-0.3346595351374244,89.24542710738083
11,120,500,80,50,-7.8915225435792955,-0.2740677622456529,2.0079071817433114,-8.701147913573173,89.24542710738083
119,170,500,90,30,3.3180265240049387,-0.27406776224562535,-2.089862576916534,8.031828843298362,89.24542710738083
110,160,500,90,30,1.076116710488055,-0.27406776224563334,-2.0898625769165493,8.031828843298278,89.24542710738083
113,130,400,90,30,-5.64961273006238,6.577626293894283,-2.0898625769165537,8.03182884329835,89.24542710738083
55,160,600,80,40,1.0761167104880407,-7.125761818385496,2.007907181743316,-0.3346595351374173,89.24542710738083
45,160,500,80,50,1.0761167104881046,-0.2740677622455463,2.007907181743314,-8.701147913573166,89.24542710738083
9,140,600,80,50,-3.4077029165455706,-7.125761818385468,2.007907181743371,-8.701147913573141,89.24542710738083
4,120,500,90,50,-7.891522543579253,-0.27406776224563867,-2.089862576916498,-8.701147913573182,89.24542710738083
26,140,500,80,50,-3.407702916545599,-0.27406776224562623,2.007907181743314,-8.701147913573191,89.24542710738083
