,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
19,180,600,90,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
82,120,500,80,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
97,140,400,80,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
56,190,500,90,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
12,130,600,90,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
132,160,400,90,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
65,160,500,90,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
66,180,500,80,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
18,130,500,80,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
51,150,500,90,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
78,140,400,90,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
94,170,500,80,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
133,190,400,80,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
100,180,600,90,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
64,160,400,90,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
27,190,600,90,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
69,150,600,90,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
125,160,500,80,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
73,180,600,80,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
11,120,500,80,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
119,170,500,90,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
110,160,500,90,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
113,130,400,90,30,0.0,1.0408340855860843e-17,3.469446951953614e-18,0.003563772277172271,0.18649262507174502
55,160,600,80,40,0.0,0.0,0.0,-0.00014849051154874893,0.18649262507174502
45,160,500,80,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
9,140,600,80,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
4,120,500,90,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
26,140,500,80,50,1.3877787807814457e-17,0.0,0.0,-0.0038607533002700534,0.18649262507174502
