,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,4.127930062483099,-4.87605849944078,0.9630082058153464,7.7623471443493175,88.9905046916966
19,180,600,90,50,7.427357205488274,-8.207432780238495,-1.954720320514613,-9.615660072420358,88.9905046916966
82,120,500,80,30,-5.97670233797281,1.1676042323332219,2.244365137798681,9.634440769859102,88.9905046916966
97,140,400,80,40,-2.869663252166351,6.687186877385308,2.1593321105616248,0.5037812474054206,88.9905046916966
56,190,500,90,50,7.599106901347088,-0.34776029933368857,-2.3993295621856126,-9.330818272736984,88.9905046916966
12,130,600,90,40,-8.886707487587959,-8.640103817797915,-2.2796040090735614,-1.4768431314906225,88.9905046916966
132,160,400,90,30,2.262886788665636,3.7034365974508052,-1.283406904852967,5.442086464432213,88.9905046916966
65,160,500,90,40,4.478541204654398,1.3051500999679497,-2.536363835012658,1.404342673717684,88.9905046916966
66,180,500,80,50,6.985255518690533,0.45670250795050027,2.338287682603739,-8.429659563844996,88.9905046916966
18,130,500,80,50,-8.261383774832279,-0.45602931065561414,2.7269316487241984,-10.132504465396945,88.9905046916966
51,150,500,90,40,-0.30242013473928253,0.362128980558027,-2.536363835012682,0.3040926028998969,88.9905046916966
78,140,400,90,40,-3.76171459734503,7.2806905696169935,-2.2119305832783294,0.3439452829757279,88.9905046916966
94,170,500,80,40,5.313306925141632,2.009865792180655,2.2065400780400566,1.861398807208582,88.9905046916966
133,190,400,80,40,5.184497685850733,5.569300198912207,1.3286969031153442,1.5095865376087945,88.9905046916966
100,180,600,90,30,5.1028119852960465,-4.725377412501188,-0.9548364140456433,8.809178233579793,88.9905046916966
64,160,400,90,50,2.4698939125266755,7.856705636691364,-2.168387718394632,-7.491040815401065,88.9905046916966
27,190,600,90,50,7.427357205488274,-8.207432780238495,-1.954720320514613,-9.615660072420358,88.9905046916966
69,150,600,90,30,1.1111350813220184,-5.131313033055237,-1.4361139944063765,11.340782491963713,88.9905046916966
125,160,500,80,30,2.836941469642273,1.8773882505833281,1.8525857407086388,6.959027075690317,88.9905046916966
73,180,600,80,40,6.330072895536976,-7.946803003101219,1.5872703933445118,0.16446307955194062,88.9905046916966
11,120,500,80,50,-8.261383774832279,-0.45602931065561414,2.7269316487241984,-10.132504465396945,88.9905046916966
119,170,500,90,30,3.1689630463749836,0.9986945908735265,-1.599382412402143,7.280283305929741,88.9905046916966
110,160,500,90,30,2.868141862336028,1.1562865107170257,-1.880723236077424,8.005858164920786,88.9905046916966
113,130,400,90,30,-5.334292176663702,5.014192278943142,-1.695702365219642,7.074027253670115,88.9905046916966
55,160,600,80,40,3.8240461153287626,-8.261241782196056,2.0496743431029216,0.15853453824629327,88.9905046916966
45,160,500,80,50,3.811586446516312,0.5915370174299834,2.8006916323621294,-9.54859174583221,88.9905046916966
9,140,600,80,50,-3.404258536176105,-8.635136601004435,2.491854163149897,-10.782187939565638,88.9905046916966
4,120,500,90,50,-8.445208410918955,-1.2604921179398136,-2.8083616148083923,-10.52703941820125,88.9905046916966
26,140,500,80,50,-3.6705790290329396,-0.34175148200940875,2.919027748284835,-10.449974475446496,88.9905046916966
