,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,0.015860751648948977,-0.015929984824981258,0.00526557684764168,0.03845784904903232,0.18660558357354837
19,180,600,90,50,0.0363705433147333,-0.04667292680772252,-0.010529585757990735,-0.05406048409415393,0.18660558357354837
82,120,500,80,30,-0.029803603727208798,0.007298816968857293,0.007350433261638624,0.05304490773603872,0.18660558357354837
97,140,400,80,40,-0.023564711434234983,0.04148298948909698,0.010626054839209406,0.010138996131753703,0.18660558357354837
56,190,500,90,50,0.041409503305206014,0.0006445966463511782,-0.012432828232454231,-0.046722610676157406,0.18660558357354837
12,130,600,90,40,-0.04613227051612084,-0.04194191072682743,-0.011416303072455844,-0.012771182599646887,0.18660558357354837
132,160,400,90,30,0.010773415374374005,0.008297906414600133,-0.007616605801430719,0.016852560122105252,0.18660558357354837
65,160,500,90,40,0.02481646664932163,0.0026341800454458587,-0.016364831046197178,0.006851611794775062,0.18660558357354837
66,180,500,80,50,0.03894999137862219,0.004938375306316592,0.01214995269853527,-0.04309064858738927,0.18660558357354837
18,130,500,80,50,-0.043666505531498846,-0.0022454811225741667,0.012778730286804374,-0.0503679927051181,0.18660558357354837
51,150,500,90,40,-0.004384019195473633,-0.004596703710704496,-0.016364831046197147,-0.0025580169667965384,0.18660558357354837
78,140,400,90,40,-0.025751718110643126,0.0455459799442402,-0.010883462353363316,0.007406568948969152,0.18660558357354837
94,170,500,80,40,0.03607789444039597,0.006927958705411477,0.012528108373778254,0.015023973727615832,0.18660558357354837
133,190,400,80,40,0.032681499196533584,0.032345263073218986,0.008462844645110861,0.024083565157432596,0.18660558357354837
100,180,600,90,30,0.01857859043339008,-0.016034714669557852,-0.005272520754468775,0.04554134523257472,0.18660558357354837
64,160,400,90,50,0.01394240962194071,0.045171523727763306,-0.011754501632251352,-0.03579875374479219,0.18660558357354837
27,190,600,90,50,0.0363705433147333,-0.04667292680772252,-0.010529585757990735,-0.05406048409415393,0.18660558357354837
69,150,600,90,30,0.010273242297769443,-0.021789122556035295,-0.00880254706303231,0.07023723046508817,0.18660558357354837
125,160,500,80,30,0.02062648271285243,0.012081961144949409,0.009903612723031266,0.03672335343372864,0.18660558357354837
73,180,600,80,40,0.03820086695023556,-0.04251560279476757,0.01069516707335737,0.008762067336264247,0.18660558357354837
11,120,500,80,50,-0.043666505531498846,-0.0022454811225741667,0.012778730286804374,-0.0503679927051181,0.18660558357354837
119,170,500,90,30,0.015792128529971965,0.009437984932299696,-0.00656532515145886,0.0343276327196333,0.18660558357354837
110,160,500,90,30,0.016326949946494744,0.009437984932299533,-0.010095351460022339,0.044596828305766216,0.18660558357354837
113,130,400,90,30,-0.021865526106015908,0.016183995383242868,-0.004964720970211705,0.03493923813412102,0.18660558357354837
55,160,600,80,40,0.02437016149160313,-0.04412574852354678,0.01408676097766342,0.00351887392765287,0.18660558357354837
45,160,500,80,50,0.021753453115736916,0.003328229577537572,0.015541546602841579,-0.05169967480025369,0.18660558357354837
9,140,600,80,50,-0.02226404045389392,-0.043957280250973695,0.012895495589423073,-0.05770626820999895,0.18660558357354837
4,120,500,90,50,-0.0424957192095723,-0.006456107304864633,-0.013092776248842388,-0.05406887995601094,0.18660558357354837
26,140,500,80,50,-0.02892014652374883,-0.004694390420272185,0.014604968059356613,-0.05262717664252894,0.18660558357354837
