,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,-0.04429933087463394,0.058684848645923646,-0.017521559824324802,-0.06497358771700532,0.09445510166390819
19,180,600,90,50,-0.04429933087463383,0.05868484864592363,0.01823672553144011,0.07038805336008917,0.09445510166390819
82,120,500,80,30,0.06287646962851273,0.0022571095633048058,-0.017521559824324753,-0.06497358771700532,0.09445510166390819
97,140,400,80,40,0.027151202794130476,-0.054170629519314124,-0.017521559824324816,0.002707232821541894,0.09445510166390819
56,190,500,90,50,-0.06216196429182501,0.0022571095633047915,0.018236725531440123,0.07038805336008915,0.09445510166390819
12,130,600,90,40,0.04501383621132175,0.05868484864592373,0.01823672553144015,0.002707232821542024,0.09445510166390819
132,160,400,90,30,-0.008574064040251714,-0.054170629519314104,0.018236725531440092,-0.06497358771700532,0.09445510166390819
65,160,500,90,40,-0.008574064040251728,0.0022571095633047737,0.01823672553144009,0.002707232821541938,0.09445510166390819
66,180,500,80,50,-0.04429933087463383,0.002257109563304811,-0.017521559824324785,0.07038805336008919,0.09445510166390819
18,130,500,80,50,0.0450138362113215,0.002257109563304733,-0.017521559824324778,0.07038805336008898,0.09445510166390819
51,150,500,90,40,0.009288569376939282,0.0022571095633047364,0.01823672553144003,0.002707232821541894,0.09445510166390819
78,140,400,90,40,0.027151202794130518,-0.05417062951931408,0.018236725531440102,0.0027072328215419026,0.09445510166390819
94,170,500,80,40,-0.026436697457442832,0.002257109563304738,-0.017521559824324788,0.0027072328215418853,0.09445510166390819
133,190,400,80,40,-0.062161964291825036,-0.05417062951931414,-0.017521559824324785,0.0027072328215418987,0.09445510166390819
100,180,600,90,30,-0.04429933087463393,0.058684848645923604,0.01823672553144006,-0.06497358771700533,0.09445510166390819
64,160,400,90,50,-0.008574064040251635,-0.05417062951931402,0.018236725531440113,0.07038805336008917,0.09445510166390819
27,190,600,90,50,-0.06216196429182509,0.058684848645923535,0.01823672553144006,0.07038805336008903,0.09445510166390819
69,150,600,90,30,0.009288569376939386,0.058684848645923625,0.018236725531440078,-0.06497358771700529,0.09445510166390819
125,160,500,80,30,-0.008574064040251708,0.0022571095633047477,-0.01752155982432479,-0.06497358771700533,0.09445510166390819
73,180,600,80,40,-0.04429933087463395,0.05868484864592359,-0.017521559824324816,0.002707232821541908,0.09445510166390819
11,120,500,80,50,0.0628764696285127,0.0022571095633047936,-0.017521559824324823,0.07038805336008912,0.09445510166390819
119,170,500,90,30,-0.026436697457442804,0.002257109563304773,0.0182367255314401,-0.06497358771700532,0.09445510166390819
110,160,500,90,30,-0.008574064040251728,0.002257109563304753,0.018236725531440064,-0.06497358771700532,0.09445510166390819
113,130,400,90,30,0.04501383621132159,-0.05417062951931409,0.018236725531440096,-0.06497358771700532,0.09445510166390819
55,160,600,80,40,-0.008574064040251742,0.05868484864592359,-0.017521559824324833,0.0027072328215418514,0.09445510166390819
45,160,500,80,50,-0.008574064040251773,0.0022571095633047234,-0.017521559824324805,0.07038805336008899,0.09445510166390819
9,140,600,80,50,0.0271512027941304,0.05868484864592349,-0.01752155982432476,0.07038805336008895,0.09445510166390819
4,120,500,90,50,0.0628764696285128,0.0022571095633047867,0.018236725531440137,0.07038805336008917,0.09445510166390819
26,140,500,80,50,0.02715120279413053,0.002257109563304816,-0.017521559824324698,0.07038805336008912,0.09445510166390819
