,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,5.591728950159531,-7.163196910602716,2.036688060785524,8.06817272498608,89.24787385351661
19,180,600,90,50,5.591728950159517,-7.163196910602752,-2.119818185715604,-8.740520452068278,89.24787385351661
82,120,500,80,30,-7.936647542161946,-0.2755075734847292,2.036688060785517,8.068172724986143,89.24787385351661
97,140,400,80,40,-3.42718871138813,6.6121817636332825,2.0366880607855453,-0.3361738635411191,89.24787385351661
56,190,500,90,50,7.84645836554655,-0.2755075734847168,-2.119818185715502,-8.74052045206822,89.24787385351661
12,130,600,90,40,-5.6819181267750345,-7.163196910602727,-2.1198181857155145,-0.33617386354109247,89.24787385351661
132,160,400,90,30,1.082270119385786,6.612181763633294,-2.1198181857155207,8.068172724986205,89.24787385351661
65,160,500,90,40,1.0822701193857007,-0.275507573484723,-2.119818185715581,-0.3361738635411555,89.24787385351661
66,180,500,80,50,5.591728950159627,-0.27550757348472654,2.036688060785563,-8.740520452068182,89.24787385351661
18,130,500,80,50,-5.681918126775095,-0.2755075734847461,2.0366880607854823,-8.740520452068285,89.24787385351661
51,150,500,90,40,-1.1724592960011506,-0.2755075734847212,-2.1198181857154976,-0.3361738635410889,89.24787385351661
78,140,400,90,40,-3.4271887113881654,6.612181763633286,-2.119818185715575,-0.3361738635411209,89.24787385351661
94,170,500,80,40,3.336999534772602,-0.2755075734847763,2.036688060785516,-0.3361738635411591,89.24787385351661
133,190,400,80,40,7.846458365546624,6.612181763633343,2.036688060785563,-0.336173863540985,89.24787385351661
100,180,600,90,30,5.591728950159563,-7.16319691060272,-2.11981818571552,8.068172724986143,89.24787385351661
64,160,400,90,50,1.0822701193857114,6.612181763633305,-2.119818185715574,-8.74052045206825,89.24787385351661
27,190,600,90,50,7.846458365546564,-7.163196910602718,-2.119818185715495,-8.74052045206822,89.24787385351661
69,150,600,90,30,-1.172459296001204,-7.16319691060274,-2.119818185715558,8.068172724986116,89.24787385351661
125,160,500,80,30,1.0822701193857789,-0.2755075734847212,2.036688060785532,8.068172724986145,89.24787385351661
73,180,600,80,40,5.591728950159574,-7.16319691060272,2.0366880607855453,-0.33617386354112533,89.24787385351661
11,120,500,80,50,-7.936647542161957,-0.27550757348473986,2.0366880607855684,-8.740520452068223,89.24787385351661
119,170,500,90,30,3.3369995347726302,-0.2755075734847301,-2.1198181857155793,8.068172724986098,89.24787385351661
110,160,500,90,30,1.0822701193858002,-0.27550757348473187,-2.119818185715519,8.068172724986205,89.24787385351661
113,130,400,90,30,-5.681918126775074,6.612181763633283,-2.119818185715588,8.068172724986102,89.24787385351661
55,160,600,80,40,1.0822701193857434,-7.163196910602728,2.0366880607855693,-0.3361738635410889,89.24787385351661
45,160,500,80,50,1.082270119385786,-0.27550757348472477,2.036688060785578,-8.740520452068207,89.24787385351661
9,140,600,80,50,-3.427188711388098,-7.163196910602746,2.03668806078557,-8.74052045206824,89.24787385351661
4,120,500,90,50,-7.936647542162049,-0.2755075734847221,-2.119818185715573,-8.740520452068287,89.24787385351661
26,140,500,80,50,-3.427188711388119,-0.2755075734847523,2.03668806078557,-8.740520452068223,89.24787385351661
