,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,0.029311688237264846,-0.033934909955187234,0.009645308846829372,0.04083399219547819,0.18863447975211386
19,180,600,90,50,0.029311688237265,-0.03393490995518718,-0.01003899492221009,-0.04423682487843474,0.18863447975211386
82,120,500,80,30,-0.041603686530311386,-0.001305188844430193,0.009645308846829388,0.04083399219547839,0.18863447975211386
97,140,400,80,40,-0.01796522827445264,0.0313245322663267,0.009645308846829417,-0.0017014163414782423,0.18863447975211386
56,190,500,90,50,0.04113091736519427,-0.001305188844430153,-0.01003899492221021,-0.044236824878434805,0.18863447975211386
12,130,600,90,40,-0.02978445740238224,-0.033934909955187165,-0.010038994922210156,-0.0017014163414782648,0.18863447975211386
132,160,400,90,30,0.005673229981406326,0.031324532266326754,-0.010038994922210127,0.04083399219547841,0.18863447975211386
65,160,500,90,40,0.005673229981405965,-0.001305188844430323,-0.0100389949222102,-0.001701416341478348,0.18863447975211386
66,180,500,80,50,0.029311688237264967,-0.0013051888444301635,0.009645308846829313,-0.044236824878434944,0.18863447975211386
18,130,500,80,50,-0.029784457402382114,-0.0013051888444302311,0.009645308846829391,-0.04423682487843478,0.18863447975211386
51,150,500,90,40,-0.006145999146523182,-0.0013051888444302884,-0.010038994922210227,-0.0017014163414782457,0.18863447975211386
78,140,400,90,40,-0.017965228274452738,0.031324532266326664,-0.01003899492221027,-0.0017014163414782596,0.18863447975211386
94,170,500,80,40,0.017492459109335577,-0.0013051888444301496,0.009645308846829424,-0.0017014163414782423,0.18863447975211386
133,190,400,80,40,0.041130917365194086,0.03132453226632656,0.009645308846829414,-0.0017014163414782665,0.18863447975211386
100,180,600,90,30,0.029311688237264797,-0.033934909955187206,-0.010038994922210193,0.040833992195478105,0.18863447975211386
64,160,400,90,50,0.005673229981406083,0.03132453226632673,-0.010038994922210193,-0.044236824878434854,0.18863447975211386
27,190,600,90,50,0.04113091736519424,-0.03393490995518718,-0.010038994922210154,-0.044236824878434736,0.18863447975211386
69,150,600,90,30,-0.006145999146523182,-0.03393490995518712,-0.0100389949222102,0.04083399219547826,0.18863447975211386
125,160,500,80,30,0.005673229981405951,-0.0013051888444303786,0.009645308846829355,0.04083399219547824,0.18863447975211386
73,180,600,80,40,0.029311688237264988,-0.03393490995518717,0.00964530884682939,-0.0017014163414781486,0.18863447975211386
11,120,500,80,50,-0.04160368653031147,-0.0013051888444302467,0.009645308846829318,-0.04423682487843482,0.18863447975211386
119,170,500,90,30,0.017492459109335376,-0.0013051888444303161,-0.010038994922210227,0.04083399219547822,0.18863447975211386
110,160,500,90,30,0.005673229981406035,-0.001305188844430337,-0.010038994922210085,0.04083399219547834,0.18863447975211386
113,130,400,90,30,-0.029784457402382183,0.03132453226632661,-0.010038994922210094,0.04083399219547829,0.18863447975211386
55,160,600,80,40,0.005673229981406014,-0.03393490995518722,0.009645308846829431,-0.0017014163414782978,0.18863447975211386
45,160,500,80,50,0.0056732299814060624,-0.0013051888444302745,0.009645308846829424,-0.04423682487843476,0.18863447975211386
9,140,600,80,50,-0.017965228274452613,-0.03393490995518719,0.0096453088468294,-0.04423682487843479,0.18863447975211386
4,120,500,90,50,-0.04160368653031147,-0.0013051888444302329,-0.010038994922210161,-0.04423682487843481,0.18863447975211386
26,140,500,80,50,-0.017965228274452613,-0.0013051888444302572,0.0096453088468294,-0.04423682487843475,0.18863447975211386
