,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,-0.048058717818333284,0.005408533542944417,-0.015913116192722704,-0.05984132636587433,0.08949850377571808
19,180,600,90,50,-0.07130724306203333,0.062132163491337274,0.029659638967906583,0.11144527343947322,0.08949850377571808
82,120,500,80,30,0.07628982786472212,-0.018823656927948518,-0.021609468936230475,-0.08552774355140744,0.08949850377571808
97,140,400,80,40,0.020503566093840568,-0.03317750231741313,-0.009216748538503117,-0.015235609500119065,0.08949850377571808
56,190,500,90,50,-0.07005811855897755,0.00043853785324596923,0.02842054504921916,0.08610914348405707,0.08949850377571808
12,130,600,90,40,0.0841713840639192,0.07086835429901701,0.02684438140130102,-0.010088092078321,0.08949850377571808
132,160,400,90,30,-0.025640173967493657,-0.0017033505487344825,0.0015054408875467568,-0.02467081313569732,0.08949850377571808
65,160,500,90,40,-0.03769621336055795,-0.021228345116030643,0.014855861682340276,-0.027091320990378198,0.08949850377571808
66,180,500,80,50,-0.0713662103526007,-0.017457203580296055,-0.03162395589365475,0.07165429457104788,0.08949850377571808
18,130,500,80,50,0.07324489627381833,-0.007165817250855865,-0.027288476995888815,0.09551487312486392,0.08949850377571808
51,150,500,90,40,-0.01510605660586007,-0.026123836429137216,0.011736626863692411,-0.0274716060240947,0.08949850377571808
78,140,400,90,40,0.02359846664211988,-0.047510957547566915,0.008670963732311403,-0.019647309077565428,0.08949850377571808
94,170,500,80,40,-0.059430177665522305,-0.022710537248097,-0.016633168285352024,-0.019117781628251795,0.08949850377571808
133,190,400,80,40,-0.051908160643566535,-0.013853778602898367,-0.00863615707118396,-0.02508573127511696,0.08949850377571808
100,180,600,90,30,-0.06447463583984635,0.009735556573636981,0.01596362693657519,-0.07097122885064519,0.08949850377571808
64,160,400,90,50,-0.03895073234731479,-0.07001663364299454,0.017953015297997713,0.05539289887116561,0.08949850377571808
27,190,600,90,50,-0.0958123153892231,0.0463604869468573,0.028360537020672674,0.09837035958815776,0.08949850377571808
69,150,600,90,30,-0.002761483522367259,0.037203332861371716,0.025659722423154237,-0.08480774676807978,0.08949850377571808
125,160,500,80,30,-0.03968445301304516,-0.03987866307446482,-0.017420999167349925,-0.06188041500640419,0.08949850377571808
73,180,600,80,40,-0.07817331391663958,0.024212970283723663,-0.020459044457368618,-0.026468678850730898,0.08949850377571808
11,120,500,80,50,0.11626947935950653,-0.0017699498820888965,-0.027122071387784205,0.10174650704078053,0.08949850377571808
119,170,500,90,30,-0.04431611899813841,-0.024651625722696156,0.018545853425585707,-0.0617830105846478,0.08949850377571808
110,160,500,90,30,-0.038705276440789624,-0.029770117907116447,0.017775526298093355,-0.06759689803533345,0.08949850377571808
113,130,400,90,30,0.034930563270528354,-0.023169742437442326,0.008897588643067354,-0.045812147399428196,0.08949850377571808
55,160,600,80,40,-0.03750768538425053,0.03201664275993481,-0.023675719204979462,-0.021181190002753637,0.08949850377571808
45,160,500,80,50,-0.039011363540586666,-0.013622207414208647,-0.030013996246208843,0.08608727356345787,0.08949850377571808
9,140,600,80,50,0.03607745086785889,0.06590955350475267,-0.031387508252950905,0.10484838697257512,0.08949850377571808
4,120,500,90,50,0.11318578294894306,0.006514388277778919,0.02778687321444262,0.11352822259555898,0.08949850377571808
26,140,500,80,50,0.038817576910048474,-0.0034410960017790086,-0.025572868258163847,0.09410161072419079,0.08949850377571808
