,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,4.969073521264647,-1.6436825362290435,1.393919342699128,8.598397482278143,88.98587970164718
19,180,600,90,50,8.195795167857778,-7.254652185482842,-1.8714159325793034,-9.090248694552686,88.98587970164718
82,120,500,80,30,-3.569883438235081,-0.7504084537071387,2.0836586202532272,10.836002113195754,88.98587970164718
97,140,400,80,40,-3.26787325165769,8.35937481484703,2.1378685387987986,0.19305994072456567,88.98587970164718
56,190,500,90,50,12.149149246430456,-2.7008836315578133,-2.1187615535234094,-6.212407401306561,88.98587970164718
12,130,600,90,40,-8.387363417236386,-8.684037017768526,-2.8062225410797854,-2.4188797403093645,88.98587970164718
132,160,400,90,30,-0.5937382740902315,4.542342513469238,-0.703802171466636,6.241720750847877,88.98587970164718
65,160,500,90,40,0.05485782640491976,-2.918210144059298,-2.457947868285906,-0.8855313097405162,88.98587970164718
66,180,500,80,50,7.0806341008977185,-2.297449077151109,2.1659520081112493,-6.207625138414363,88.98587970164718
18,130,500,80,50,-6.454222012196347,-1.8180833126364098,2.507553892986098,-9.809301639200761,88.98587970164718
51,150,500,90,40,-2.7348132791242072,-2.7433557858919,-2.751773793627752,-1.5841345890562648,88.98587970164718
78,140,400,90,40,-4.088954072034156,9.112583473514263,-2.1720263676839098,-0.386212625404708,88.98587970164718
94,170,500,80,40,3.0504007389555845,-2.0326075942499164,2.0517324797526877,0.08741571693237749,88.98587970164718
133,190,400,80,40,7.969357303746648,5.802716033206909,1.3188260825435165,0.24739372668473436,88.98587970164718
100,180,600,90,30,6.225480694246805,-2.335971269545091,-1.414622082953258,9.487774532765156,88.98587970164718
64,160,400,90,50,0.04207367120690719,8.882628698985569,-2.475136140466585,-7.1380563807035236,88.98587970164718
27,190,600,90,50,12.981311701290723,-7.132677372920169,-1.5457577115076742,-7.857814562674961,88.98587970164718
69,150,600,90,30,-0.9817643415139017,-4.120347218547536,-2.133047082876949,12.20872866659618,88.98587970164718
125,160,500,80,30,-0.5569749297364375,-1.999562535074018,1.58016451438918,8.118411963736078,88.98587970164718
73,180,600,80,40,8.065521461012965,-4.7248755578023065,2.2454188079454553,-0.14736074119987563,88.98587970164718
11,120,500,80,50,-7.540305819044779,-1.9457096831953553,2.5115809165598426,-9.622898879672773,88.98587970164718
119,170,500,90,30,1.0025697011542825,-2.8908043684283635,-1.5534299647355683,7.721776596701395,88.98587970164718
110,160,500,90,30,-0.5667045890048463,-2.658680134681118,-1.6376295415607824,9.047476962253443,88.98587970164718
113,130,400,90,30,-2.5844546279413905,6.997271797374062,-1.093406705137892,9.508898408823175,88.98587970164718
55,160,600,80,40,0.44353667896042026,-6.279043699666367,2.0961928252607365,-1.6090164381092151,88.98587970164718
45,160,500,80,50,-0.6457732232131974,-2.828954712541922,2.148319333049134,-8.45886494179951,88.98587970164718
9,140,600,80,50,-5.371711127972073,-8.308607347692526,2.394001088815962,-10.568614056889448,88.98587970164718
4,120,500,90,50,-7.933587057863843,-1.8876481523773005,-2.599884989306762,-9.688244323551196,88.98587970164718
26,140,500,80,50,-4.658884546482017,-1.8885507769163015,2.605674062366514,-9.717874598336511,88.98587970164718
