,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,0.014998651131516397,0.00914148053432675,0.0036513546523040605,0.042477402284201285,0.1773187284544447
19,180,600,90,50,0.03855326102811041,-0.049260801270150006,0.002531026136042166,-0.021717309382612023,0.1773187284544447
82,120,500,80,30,0.0023324138419670223,-0.02656365347650895,-0.006567443576150751,0.04240941578163784,0.1773187284544447
97,140,400,80,40,0.0013571270814506306,0.0652776990554752,0.011696049465447677,0.004813656368744406,0.1773187284544447
56,190,500,90,50,0.07144861965402194,-0.006435765056092866,0.008112478947299068,0.003975456552595281,0.17731872845444469
12,130,600,90,40,-0.028982874924424445,-0.046976103326121336,-0.009843329693416935,-0.0277320186093524,0.1773187284544447
132,160,400,90,30,-0.009650259893286682,0.03499233554112635,0.009177922864839599,0.03036097217416763,0.1773187284544447
65,160,500,90,40,-0.012610614945520918,-0.029388141949850396,-0.00820199865509039,-0.021992921301031223,0.1773187284544447
66,180,500,80,50,0.024717984534469523,-0.020559121410082096,-0.011456066736112856,-0.0034610071744654684,0.1773187284544447
18,130,500,80,50,-0.019072789979473537,-0.012591836434177694,0.011816034270174186,-0.029487368202921797,0.1773187284544447
51,150,500,90,40,-0.019919726591367336,-0.031813871099339815,-0.011475912370571023,-0.024114360542465067,0.1773187284544447
78,140,400,90,40,-0.0066510198332210765,0.06025958806870407,-0.01123550297134503,-0.004055667799082653,0.1773187284544447
94,170,500,80,40,-0.0020601284566963834,-0.025393208651406582,0.005762494430298103,-0.005138321901592883,0.1773187284544447
133,190,400,80,40,0.004504216797991192,0.026493310680935397,-0.004921190386362479,-0.010359163836614647,0.1773187284544447
100,180,600,90,30,0.011069043174660377,-0.013342935475535021,-0.003001511130617293,0.04507736466784301,0.1773187284544447
64,160,400,90,50,-0.007380208826713211,0.048663987418657365,-0.009145342937274158,-0.02147722501110938,0.1773187284544447
27,190,600,90,50,0.06068716921656095,-0.04936019360305598,0.0024196889522071253,-0.024844970094705116,0.1773187284544447
69,150,600,90,30,-0.009047853926125025,-0.020861347745448906,-0.0030966823439999274,0.0628093239062281,0.1773187284544447
125,160,500,80,30,-0.02556568506003478,-0.040187984449312146,-0.011395539558269574,0.018309991544491602,0.1773187284544447
73,180,600,80,40,0.028577251349185515,-0.020976546306693288,0.011395554886908098,-0.007787730695940836,0.1773187284544447
11,120,500,80,50,-0.030111432173987533,-0.015098574729839992,0.007423525158577304,-0.031087597263554194,0.1773187284544447
119,170,500,90,30,-0.011123687653710766,-0.01816605510741205,0.012989124347797105,0.029376250648952093,0.1773187284544447
110,160,500,90,30,-0.02009733407124597,-0.025336426254419786,0.013313466355386846,0.04056853068921275,0.1773187284544447
113,130,400,90,30,0.004391149933879186,0.03947948191629417,0.0013896768677362833,0.0508728928420922,0.1773187284544447
55,160,600,80,40,-0.005242209701951793,-0.03614981273004647,0.010840674436330881,-0.012399295673291275,0.1773187284544447
45,160,500,80,50,-0.01564686539754427,-0.0221818915524836,0.00014874404936071617,-0.012824355822255343,0.1773187284544447
9,140,600,80,50,-0.021441155519079547,-0.05462089341359483,0.002096071939603251,-0.04770884913459396,0.1773187284544447
4,120,500,90,50,-0.041177091236340814,-0.011360340910267669,-0.006546449734109219,-0.03836758439039848,0.17731872845444469
26,140,500,80,50,-0.012535229499274214,-0.010991676428739362,0.012019087605159927,-0.025500230067424835,0.1773187284544447
