,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,-0.03136216836734691,0.025591940476190456,-0.007603403061224489,-0.059602032312925164,0.09689403061224486
19,180,600,90,50,-0.0662809132653061,0.0713215595238096,0.016249818027210892,0.08573387244897969,0.09689403061224486
82,120,500,80,30,0.04601352891156463,-0.0065688469387755,-0.008734918367346944,-0.08221603911564623,0.09689403061224486
97,140,400,80,40,0.01592904166666673,-0.05235380697278909,-0.011719189625850324,-0.011290892006802725,0.09689403061224486
56,190,500,90,50,-0.07540894387755093,-0.0033723894557823085,0.014138365646258463,0.06551424319727894,0.09689403061224486
12,130,600,90,40,0.05523232482993217,0.07338234183673477,0.016342294217687087,-0.0012285425170068132,0.09689403061224486
132,160,400,90,30,-0.0121278469387755,-0.02593346088435372,0.004374896258503395,-0.036531088435374094,0.09689403061224486
65,160,500,90,40,-0.03118008503401361,-0.01528616156462581,0.007761493197278896,-0.01944437925170063,0.09689403061224486
66,180,500,80,50,-0.057798237244898035,-0.0016751096938775831,-0.013761655612244909,0.06103484948979589,0.09689403061224486
18,130,500,80,50,0.07505661054421763,0.011107491496598464,-0.01626300850340143,0.10478650850340125,0.09689403061224486
51,150,500,90,40,-0.012883696428571404,-0.015005364795918333,0.008953303571428565,-0.018264395408163214,0.09689403061224486
78,140,400,90,40,0.02323073894557826,-0.059497796768707464,0.011683298469387735,-0.01058578146258503,0.09689403061224486
94,170,500,80,40,-0.03360963265306124,-0.00901043707482991,-0.007574278911564645,-0.014087437074829923,0.09689403061224486
133,190,400,80,40,-0.030454481292517016,-0.02781803741496597,-0.005263651360544231,-0.007225207482993226,0.09689403061224486
100,180,600,90,30,-0.03699839795918365,0.029659022108843504,0.007644994897959171,-0.06874046598639451,0.09689403061224486
64,160,400,90,50,-0.022931346938775538,-0.07033758843537403,0.012248838435374141,0.05645259693877552,0.09689403061224486
27,190,600,90,50,-0.0780705663265305,0.07067716836734708,0.016325243197278988,0.08601085884353753,0.09689403061224486
69,150,600,90,30,-0.005135272959183628,0.03968866751700682,0.010430172619047632,-0.09301025085034013,0.09689403061224486
125,160,500,80,30,-0.013412084183673494,-0.003940368197278923,-0.005222823979591852,-0.04792793792517004,0.09689403061224486
73,180,600,80,40,-0.05305445663265303,0.04513464370748295,-0.013146803571428606,-0.009939659013605506,0.09689403061224486
11,120,500,80,50,0.09070952721088416,0.00547727891156455,-0.015258986394557856,0.09752508843537398,0.09689403061224486
119,170,500,90,30,-0.020588679421768702,-0.004214796768707478,0.005222761054421767,-0.049619437925170005,0.09689403061224486
110,160,500,90,30,-0.016167136904761913,-0.006308943027210887,0.005184522959183667,-0.05536982057823121,0.09689403061224486
113,130,400,90,30,0.02195978316326532,-0.0387073869047619,0.007181791666666645,-0.05665474914965987,0.09689403061224486
55,160,600,80,40,-0.01942926445578225,0.059261517857142884,-0.012580488945578165,-0.004798856292517062,0.09689403061224486
45,160,500,80,50,-0.027012271258503414,-0.0028047916666666724,-0.014236829081632566,0.07351700425170075,0.09689403061224486
9,140,600,80,50,0.05007897278911586,0.08747422959183684,-0.014130051020408,0.11448894047619082,0.09689403061224486
4,120,500,90,50,0.09041000510204078,0.008731120748299197,0.01553587585034018,0.1026330493197278,0.09689403061224486
26,140,500,80,50,0.04126944897959204,0.001418324829931969,-0.017507394557823065,0.09573171258503416,0.09689403061224486
