,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,4.214897108843619,-3.146609693877495,0.8090535714286018,8.45400595238096,88.93191836734695
19,180,600,90,50,6.886878401360512,-7.993699829931947,-1.3888852040816548,-9.461721938775522,88.93191836734695
82,120,500,80,30,-6.631827380952284,0.30541921768709557,1.2269855442177047,9.14607568027209,88.93191836734695
97,140,400,80,40,-2.848350340136008,7.110170068027173,1.8375799319727761,1.0207227891156556,88.93191836734695
56,190,500,90,50,9.849671768707598,-0.14732312925163527,-1.33275340136049,-7.715799319727774,88.93191836734695
12,130,600,90,40,-6.917733843537505,-8.481684523809577,-1.7305892857142942,-0.8743596938776159,88.93191836734695
132,160,400,90,30,1.5804124149659309,3.329310374149747,-0.5474243197278046,5.021089285714348,88.93191836734695
65,160,500,90,40,3.867923469387634,2.000544217687043,-1.0969727891155827,2.155770408163283,88.93191836734695
66,180,500,80,50,5.642822278911513,-0.8137185374149869,1.508487244897938,-8.435835884353775,88.93191836734695
18,130,500,80,50,-6.724154761904742,-0.3450442176870565,1.9777329931972512,-10.620044217687049,88.93191836734695
51,150,500,90,40,1.255608843537356,1.5470986394557684,-1.097471088435399,1.525090136054402,88.93191836734695
78,140,400,90,40,-3.9588231292516376,7.067149659863993,-1.8381785714285508,0.3805867346939005,88.93191836734695
94,170,500,80,40,4.222472789115706,1.1295782312925446,1.1468656462584939,1.7610017006803034,88.93191836734695
133,190,400,80,40,4.554832482993149,3.9259362244897975,0.7399430272108756,0.7779821428571392,88.93191836734695
100,180,600,90,30,5.157311224489774,-3.5299846938775774,-0.7878690476190764,9.36433843537413,88.93191836734695
64,160,400,90,50,2.766129251700619,8.764500000000025,-1.5833299319727807,-7.040442176870762,88.93191836734695
27,190,600,90,50,9.776794217687094,-7.734637755102053,-1.3514812925169863,-8.983818027210855,88.93191836734695
69,150,600,90,30,1.0771045918368038,-4.681895408163236,-1.3182848639455358,11.556463435374187,88.93191836734695
125,160,500,80,30,1.7095025510202326,0.3396658163264963,0.6398324829931727,6.872958333333312,88.93191836734695
73,180,600,80,40,5.931950680272173,-6.689981292516976,1.5675782312925355,0.013636054421787946,88.93191836734695
11,120,500,80,50,-8.56215476190464,-0.05426530612241187,1.8605408163265285,-9.51889625850337,88.93191836734695
119,170,500,90,30,2.5836845238096906,0.21926955782314828,-0.6249396258502973,7.249250850340175,88.93191836734695
110,160,500,90,30,2.056810374149517,0.5807627551019632,-0.6170654761904384,7.878186224489758,88.93191836734695
113,130,400,90,30,-3.1633639455783147,5.226921768707476,-1.1222193877550994,7.849192176870713,88.93191836734695
55,160,600,80,40,1.3078435374150033,-8.533889455782152,1.5918214285714463,-0.8456530612243682,88.93191836734695
45,160,500,80,50,1.687670068027053,-0.7199880952381577,1.710448979591817,-9.883518707482974,88.93191836734695
9,140,600,80,50,-4.885547619047539,-8.645260204081591,1.6049642857142956,-11.450972789115607,88.93191836734695
4,120,500,90,50,-8.85137329931965,-0.25544302721083234,-1.8892950680271952,-9.979684523809485,88.93191836734695
26,140,500,80,50,-4.1982704081631645,-0.10482653061224312,1.9402414965986239,-10.437430272108838,88.93191836734695
