,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,0.02252636054421766,0.00379903061224475,0.005866309523809378,0.04999901360544215,0.18556438775510206
19,180,600,90,50,0.024314659863945574,-0.04531161564625844,-0.006718010204081543,-0.0550330952380953,0.18556438775510206
82,120,500,80,30,-0.027210306122448916,0.0045785714285714214,0.004719914965986487,0.058918860544217744,0.18556438775510206
97,140,400,80,40,-0.01786213435374131,0.04221829081632675,0.00840056972789113,0.010944192176870902,0.18556438775510206
56,190,500,90,50,0.058786062925170024,-0.003920025510204202,-0.009588477891156438,-0.03912766156462581,0.18556438775510206
12,130,600,90,40,-0.03864509353741501,-0.04452055272108853,-0.007415926870748317,-0.011217508503401304,0.18556438775510206
132,160,400,90,30,0.006209906462585069,0.007563818027211063,-0.0004764880952381652,0.00934245748299328,0.18556438775510206
65,160,500,90,40,0.0249565646258502,0.011718860544217613,-0.006708996598639581,0.017224285714285657,0.18556438775510206
66,180,500,80,50,0.0340606207482993,-0.003946249999999856,0.0119421513605442,-0.04272295068027218,0.18556438775510206
18,130,500,80,50,-0.037814982993197244,-0.004800629251700668,0.00923341836734692,-0.052702602040816296,0.18556438775510206
51,150,500,90,40,0.01110489795918379,0.008765459183673406,-0.007300221088435432,0.010385884353741597,0.18556438775510206
78,140,400,90,40,-0.025051156462584878,0.04512396258503423,-0.00797933673469387,0.007852346938775723,0.18556438775510206
94,170,500,80,40,0.0299487585034012,0.009145901360544027,0.006974727891156326,0.017243775510203892,0.18556438775510206
133,190,400,80,40,0.02238926020408162,0.01678934523809544,0.0016645153061224487,0.013898613945578352,0.18556438775510206
100,180,600,90,30,0.028555110544217867,-0.002558154761904685,-0.005266658163265152,0.054215518707483104,0.18556438775510206
64,160,400,90,50,0.023270229591836566,0.055191454081632625,-0.007257236394557845,-0.02874842687074849,0.18556438775510206
27,190,600,90,50,0.05537671768707478,-0.0362034353741497,-0.005107397959183593,-0.044069047619047494,0.18556438775510206
69,150,600,90,30,0.009174685374149477,-0.020522559523809727,-0.008779549319728033,0.06556303571428554,0.18556438775510206
125,160,500,80,30,0.01222590136054448,0.005560391156462608,0.0034613605442178792,0.03682061224489814,0.18556438775510206
73,180,600,80,40,0.037995705782313066,-0.03508305272108844,0.010502338435374164,0.003836947278911783,0.18556438775510206
11,120,500,80,50,-0.047079838435373986,-0.0031970153061224894,0.007999702380952364,-0.04844029761904757,0.18556438775510206
119,170,500,90,30,0.007946394557823332,0.0029607312925170846,-0.001948231292516988,0.03527263605442196,0.18556438775510206
110,160,500,90,30,0.01156469387755095,0.008933826530612084,-0.0028662755102042657,0.04376255102040815,0.18556438775510206
113,130,400,90,30,-0.006275901360544171,0.025092602040816505,-0.001046785714285712,0.041461615646258596,0.18556438775510206
55,160,600,80,40,0.006460051020408142,-0.05051741496598647,0.011405136054421734,-0.008881547619047657,0.18556438775510206
45,160,500,80,50,0.005160059523809504,-0.010067406462585058,0.010312508503401385,-0.05773485544217701,0.18556438775510206
9,140,600,80,50,-0.02201356292517001,-0.03821028061224486,0.006762644557823154,-0.052664413265306145,0.18556438775510206
4,120,500,90,50,-0.04230200680272091,-0.004340255102040847,-0.007751683673469384,-0.051537789115646236,0.18556438775510206
26,140,500,80,50,-0.025790765306122454,-0.005720986394557814,0.010399489795918392,-0.05737049319727881,0.18556438775510206
