,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,-0.0438861340180324,0.0581223449683902,-0.017382329645048225,-0.06433187931705088,0.09448919733991609
19,180,600,90,50,-0.04388613401803234,0.05812234496839028,0.018091812487703245,0.06969286926013857,0.09448919733991609
82,120,500,80,30,0.062289996670755625,0.0022354748064765846,-0.017382329645048177,-0.06433187931705087,0.09448919733991609
97,140,400,80,40,0.026897953107826313,-0.053651395355437136,-0.017382329645048232,0.0026804949715438006,0.09448919733991609
56,190,500,90,50,-0.0615821557994969,0.002235474806476589,0.018091812487703307,0.06969286926013851,0.09448919733991609
12,130,600,90,40,0.04459397488929103,0.05812234496839026,0.018091812487703203,0.002680494971543783,0.09448919733991609
132,160,400,90,30,-0.008494090455103041,-0.05365139535543711,0.018091812487703245,-0.06433187931705085,0.09448919733991609
65,160,500,90,40,-0.008494090455103045,0.0022354748064765282,0.018091812487703224,0.0026804949715438014,0.09448919733991609
66,180,500,80,50,-0.04388613401803237,0.0022354748064765274,-0.01738232964504826,0.0696928692601384,0.09448919733991609
18,130,500,80,50,0.04459397488929112,0.0022354748064766124,-0.017382329645048232,0.06969286926013853,0.09448919733991609
51,150,500,90,40,0.00920193132636159,0.0022354748064765013,0.0180918124877032,0.00268049497154379,0.09448919733991609
78,140,400,90,40,0.026897953107826313,-0.05365139535543705,0.01809181248770323,0.002680494971543804,0.09448919733991609
94,170,500,80,40,-0.0261901122365677,0.0022354748064765135,-0.01738232964504824,0.0026804949715437815,0.09448919733991609
133,190,400,80,40,-0.061582155799496996,-0.053651395355437115,-0.017382329645048218,0.002680494971543803,0.09448919733991609
100,180,600,90,30,-0.0438861340180323,0.05812234496839021,0.01809181248770326,-0.06433187931705078,0.09448919733991609
64,160,400,90,50,-0.008494090455103062,-0.05365139535543709,0.01809181248770333,0.06969286926013846,0.09448919733991609
27,190,600,90,50,-0.06158215579949708,0.05812234496839013,0.018091812487703175,0.06969286926013846,0.09448919733991609
69,150,600,90,30,0.009201931326361587,0.05812234496839016,0.018091812487703186,-0.06433187931705087,0.09448919733991609
125,160,500,80,30,-0.008494090455103041,0.0022354748064765282,-0.017382329645048235,-0.06433187931705084,0.09448919733991609
73,180,600,80,40,-0.043886134018032395,0.0581223449683902,-0.01738232964504819,0.0026804949715437693,0.09448919733991609
11,120,500,80,50,0.06228999667075574,0.002235474806476616,-0.01738232964504821,0.0696928692601385,0.09448919733991609
119,170,500,90,30,-0.026190112236567673,0.002235474806476529,0.018091812487703245,-0.06433187931705085,0.09448919733991609
110,160,500,90,30,-0.00849409045510302,0.002235474806476542,0.018091812487703245,-0.06433187931705082,0.09448919733991609
113,130,400,90,30,0.04459397488929091,-0.05365139535543714,0.018091812487703217,-0.06433187931705088,0.09448919733991609
55,160,600,80,40,-0.008494090455103017,0.05812234496839026,-0.017382329645048118,0.002680494971543829,0.09448919733991609
45,160,500,80,50,-0.008494090455103145,0.0022354748064765005,-0.017382329645048288,0.06969286926013833,0.09448919733991609
9,140,600,80,50,0.026897953107826313,0.05812234496839033,-0.01738232964504819,0.06969286926013854,0.09448919733991609
4,120,500,90,50,0.062289996670755736,0.0022354748064766367,0.018091812487703265,0.06969286926013862,0.09448919733991609
26,140,500,80,50,0.026897953107826438,0.0022354748064766124,-0.01738232964504817,0.0696928692601385,0.09448919733991609
