,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,5.539448940897596,-7.094603575998827,2.0207754477356072,7.988429212985688,89.24364813873771
19,180,600,90,50,5.539448940897557,-7.09460357599883,-2.1032560782554253,-8.654131647401165,89.24364813873771
82,120,500,80,30,-7.86244365804815,-0.2728693683076351,2.020775447735602,7.988429212985668,89.24364813873771
97,140,400,80,40,-3.3951461250662405,6.548864839383448,2.0207754477355593,-0.3328512172077227,89.24364813873771
56,190,500,90,50,7.773097707388494,-0.27286936830769193,-2.103256078255413,-8.654131647401206,89.24364813873771
12,130,600,90,40,-5.628794891557259,-7.094603575998788,-2.103256078255405,-0.3328512172077511,89.24364813873771
132,160,400,90,30,1.072151407915566,6.548864839383528,-2.1032560782554075,7.98842921298562,89.24364813873771
65,160,500,90,40,1.0721514079156584,-0.2728693683076502,-2.1032560782554315,-0.3328512172076836,89.24364813873771
66,180,500,80,50,5.539448940897611,-0.27286936830763686,2.0207754477356072,-8.654131647401178,89.24364813873771
18,130,500,80,50,-5.628794891557288,-0.2728693683076724,2.0207754477355966,-8.65413164740117,89.24364813873771
51,150,500,90,40,-1.161497358575236,-0.2728693683076058,-2.103256078255428,-0.3328512172076712,89.24364813873771
78,140,400,90,40,-3.395146125066205,6.548864839383519,-2.1032560782553986,-0.33285121720772803,89.24364813873771
94,170,500,80,40,3.3058001744065493,-0.2728693683076502,2.020775447735587,-0.33285121720776534,89.24364813873771
133,190,400,80,40,7.773097707388594,6.548864839383505,2.0207754477355984,-0.3328512172077591,89.24364813873771
100,180,600,90,30,5.53944894089755,-7.094603575998844,-2.1032560782554306,7.988429212985679,89.24364813873771
64,160,400,90,50,1.0721514079156371,6.548864839383519,-2.103256078255428,-8.65413164740118,89.24364813873771
27,190,600,90,50,7.77309770738858,-7.094603575998725,-2.1032560782554235,-8.654131647401146,89.24364813873771
69,150,600,90,30,-1.1614973585753887,-7.094603575998847,-2.103256078255421,7.988429212985628,89.24364813873771
125,160,500,80,30,1.072151407915566,-0.2728693683076546,2.0207754477355966,7.988429212985608,89.24364813873771
73,180,600,80,40,5.539448940897589,-7.09460357599877,2.0207754477355966,-0.33285121720771116,89.24364813873771
11,120,500,80,50,-7.8624436580481785,-0.27286936830763864,2.0207754477356037,-8.654131647401172,89.24364813873771
119,170,500,90,30,3.3058001744066026,-0.2728693683076733,-2.1032560782553817,7.988429212985673,89.24364813873771
110,160,500,90,30,1.0721514079155234,-0.2728693683076866,-2.103256078255413,7.988429212985606,89.24364813873771
113,130,400,90,30,-5.628794891557252,6.5488648393835,-2.103256078255412,7.9884292129857055,89.24364813873771
55,160,600,80,40,1.072151407915623,-7.0946035759988115,2.0207754477355877,-0.3328512172077467,89.24364813873771
45,160,500,80,50,1.0721514079156194,-0.2728693683076786,2.020775447735602,-8.654131647401169,89.24364813873771
9,140,600,80,50,-3.395146125066219,-7.094603575998784,2.0207754477356037,-8.654131647401165,89.24364813873771
4,120,500,90,50,-7.862443658048193,-0.2728693683076706,-2.103256078255427,-8.654131647401181,89.24364813873771
26,140,500,80,50,-3.395146125066198,-0.27286936830760844,2.020775447735593,-8.654131647401123,89.24364813873771
