,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,0.02903606571789311,-0.033611100384924486,0.009571286301581671,0.040430313802933285,0.1886132154342495
19,180,600,90,50,0.029036065717893175,-0.03361110038492439,-0.009961951048584978,-0.04379950661984453,0.1886132154342495
82,120,500,80,30,-0.04121248037378397,-0.0012927346301893922,0.009571286301581728,0.040430313802933264,0.1886132154342495
97,140,400,80,40,-0.01779629834322477,0.031025631124545646,0.00957128630158174,-0.001684596408455542,0.1886132154342495
56,190,500,90,50,0.040744156733173074,-0.0012927346301892864,-0.009961951048584904,-0.04379950661984437,0.1886132154342495
12,130,600,90,40,-0.029504389358504385,-0.03361110038492441,-0.009961951048585079,-0.001684596408455528,0.1886132154342495
132,160,400,90,30,0.005619883687334078,0.031025631124545483,-0.009961951048585056,0.04043031380293325,0.1886132154342495
65,160,500,90,40,0.005619883687334147,-0.0012927346301893107,-0.009961951048585101,-0.0016845964084555246,0.1886132154342495
66,180,500,80,50,0.029036065717893286,-0.0012927346301893211,0.00957128630158173,-0.043799506619844476,0.1886132154342495
18,130,500,80,50,-0.029504389358504357,-0.0012927346301893853,0.009571286301581711,-0.0437995066198444,0.1886132154342495
51,150,500,90,40,-0.006088207327945426,-0.001292734630189328,-0.009961951048585101,-0.001684596408455561,0.1886132154342495
78,140,400,90,40,-0.01779629834322491,0.031025631124545604,-0.009961951048585107,-0.001684596408455549,0.1886132154342495
94,170,500,80,40,0.017327974702613796,-0.0012927346301892587,0.009571286301581695,-0.0016845964084555437,0.1886132154342495
133,190,400,80,40,0.04074415673317271,0.031025631124545504,0.009571286301581636,-0.0016845964084556027,0.1886132154342495
100,180,600,90,30,0.029036065717893262,-0.033611100384924486,-0.009961951048584893,0.040430313802933285,0.1886132154342495
64,160,400,90,50,0.00561988368733405,0.031025631124545587,-0.009961951048585094,-0.0437995066198444,0.1886132154342495
27,190,600,90,50,0.04074415673317302,-0.0336111003849244,-0.009961951048584904,-0.0437995066198443,0.1886132154342495
69,150,600,90,30,-0.006088207327945447,-0.03361110038492447,-0.009961951048585035,0.04043031380293334,0.1886132154342495
125,160,500,80,30,0.005619883687334279,-0.0012927346301892378,0.009571286301581737,0.04043031380293338,0.1886132154342495
73,180,600,80,40,0.029036065717893196,-0.03361110038492445,0.009571286301581612,-0.001684596408455509,0.1886132154342495
11,120,500,80,50,-0.04121248037378386,-0.0012927346301893992,0.009571286301581725,-0.043799506619844435,0.1886132154342495
119,170,500,90,30,0.01732797470261386,-0.001292734630189217,-0.009961951048584952,0.040430313802933555,0.1886132154342495
110,160,500,90,30,0.005619883687334119,-0.001292734630189217,-0.009961951048585063,0.04043031380293341,0.1886132154342495
113,130,400,90,30,-0.029504389358504343,0.03102563112454556,-0.009961951048585068,0.040430313802933264,0.1886132154342495
55,160,600,80,40,0.005619883687334175,-0.033611100384924486,0.009571286301581706,-0.0016845964084555472,0.1886132154342495
45,160,500,80,50,0.005619883687334244,-0.0012927346301893593,0.009571286301581754,-0.04379950661984448,0.1886132154342495
9,140,600,80,50,-0.01779629834322477,-0.0336111003849244,0.009571286301581747,-0.04379950661984436,0.1886132154342495
4,120,500,90,50,-0.04121248037378389,-0.0012927346301893471,-0.009961951048584997,-0.04379950661984441,0.1886132154342495
26,140,500,80,50,-0.017796298343224742,-0.001292734630189387,0.009571286301581734,-0.04379950661984429,0.1886132154342495
