,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,-0.03157587475453999,0.03694797528646723,-0.012357903043326443,-0.04935515096011359,0.1389839753840879
19,180,600,90,50,-0.03493751254146964,0.04340236452033309,0.013067742193565915,0.053457397077127995,0.1389839753840879
82,120,500,80,30,0.04545115781173567,0.0008742802264012396,-0.01239403098973641,-0.050173453496263135,0.1389839753840879
97,140,400,80,40,0.019160132855262715,-0.038445229087685294,-0.01227362755371699,0.001389491842124474,0.1389839753840879
56,190,500,90,50,-0.04734905754239235,0.0014697317818782602,0.012641604392020566,0.05028220986662944,0.1389839753840879
12,130,600,90,40,0.034473783853132836,0.042353159187766234,0.013507224453757963,0.00302119432533024,0.1389839753840879
132,160,400,90,30,-0.00788510862576735,-0.03492795509305814,0.012377653269685198,-0.04523686640191592,0.1389839753840879
65,160,500,90,40,-0.007526837735410914,0.0013295746700828955,0.013336933872651424,0.0019572115276419045,0.1389839753840879
66,180,500,80,50,-0.03445034874335255,0.0013334378294005429,-0.012387098724910804,0.05136982603645011,0.1389839753840879
18,130,500,80,50,0.034924060262847945,0.002196763570323782,-0.01263072857036942,0.05397065689432312,0.1389839753840879
51,150,500,90,40,0.006506682798888438,0.0015030694779087188,0.013402172709832693,0.002141555527101279,0.1389839753840879
78,140,400,90,40,0.01955623108142111,-0.03934622110471268,0.0127668988907116,0.0016832572486196757,0.1389839753840879
94,170,500,80,40,-0.021138721703775627,0.0008255162900628193,-0.012693145892984257,0.001459220965445273,0.1389839753840879
133,190,400,80,40,-0.04240262763441911,-0.03599263927315841,-0.011674457045131434,0.0005441605919652825,0.1389839753840879
100,180,600,90,30,-0.03197000202281934,0.03764577803949192,0.012853969289257283,-0.04972365638484021,0.1389839753840879
64,160,400,90,50,-0.00732099745679847,-0.041357930023165776,0.012577134963225134,0.04931878390126189,0.1389839753840879
27,190,600,90,50,-0.048147896162755624,0.042613883166962865,0.01282319919309707,0.05226655918376935,0.1389839753840879
69,150,600,90,30,0.005935851113373615,0.03876033246424473,0.013271173209817182,-0.052324921569762255,0.1389839753840879
125,160,500,80,30,-0.008002565943143046,0.00025769633541598835,-0.0124974905972405,-0.048928653652693,0.1389839753840879
73,180,600,80,40,-0.03371779550162182,0.04055054513298525,-0.012689437520546987,0.0018114660428521865,0.1389839753840879
11,120,500,80,50,0.047942420046022755,0.0023354115851437797,-0.012484118251845183,0.05373831551574737,0.1389839753840879
119,170,500,90,30,-0.020260269913961487,0.00042267155247332003,0.012858813758670113,-0.04841814341792221,0.1389839753840879
110,160,500,90,30,-0.007730383898229991,0.0005800715899513288,0.01299920842437277,-0.04927829055350638,0.1389839753840879
113,130,400,90,30,0.03134356237190867,-0.03541974749966727,0.01240417944445326,-0.046454870573794306,0.1389839753840879
55,160,600,80,40,-0.0073715070836660734,0.04153848215360171,-0.013007944585198005,0.0021928141113904363,0.1389839753840879
45,160,500,80,50,-0.007369092346601443,0.001694460696649842,-0.012680002212234821,0.05312532672157202,0.1389839753840879
9,140,600,80,50,0.02150833607929423,0.04403032358957967,-0.012881421757048234,0.05600956292931024,0.1389839753840879
4,120,500,90,50,0.04784671140643311,0.0026549621482001677,0.012987314272604574,0.05366655168923505,0.1389839753840879
26,140,500,80,50,0.021115215473118985,0.0020408500589046003,-0.012713606994432164,0.053944338834143596,0.1389839753840879
