,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,4.582175871934123,-3.8129840234746446,1.8119458866006504,8.107440199016313,88.31165746103792
19,180,600,90,50,7.857846273960606,-8.663619128530991,-2.5368230178727345,-9.644843885552314,88.31165746103792
82,120,500,80,30,-6.451459676562688,0.24388926971439684,2.238139592072894,9.510042419230473,88.31165746103792
97,140,400,80,40,-2.243971788672784,6.463815881125924,2.0119308312771365,0.24144012982587437,88.31165746103792
56,190,500,90,50,9.572848239951057,0.014536932204520348,-2.0129662699585156,-7.270140902022141,88.31165746103792
12,130,600,90,40,-6.977639200972625,-8.351329440846456,-3.098330493764915,-0.39107683402001037,88.31165746103792
132,160,400,90,30,1.7806951070449877,4.8643839916509926,-1.1371749025855635,6.445596014487975,88.31165746103792
65,160,500,90,40,2.1347465180410303,0.08987326701514142,-2.2203012558466373,0.04878629923841782,88.31165746103792
66,180,500,80,50,6.661095142777434,0.06634976022940187,2.1711721473691217,-7.097646555119767,88.31165746103792
18,130,500,80,50,-6.829831914804895,-0.1490097496083207,3.01457946469967,-9.969929456241235,88.31165746103792
51,150,500,90,40,-0.463104207807028,0.04546006747451781,-2.3994479220151534,-0.024302241533779245,88.31165746103792
78,140,400,90,40,-2.7988694508113845,7.353874162603563,-2.051639316749683,0.1335412138698393,88.31165746103792
94,170,500,80,40,3.9146121643623424,0.22448055808546208,1.9885516103141887,0.22170099863064863,88.31165746103792
133,190,400,80,40,5.27828079912382,4.978958980665506,1.1457820520550284,0.5314726085081345,88.31165746103792
100,180,600,90,30,5.377330738083959,-4.871658920999355,-1.848405066607377,8.797893333354502,88.31165746103792
64,160,400,90,50,2.2271535400528926,8.331565375984539,-2.197442525480109,-7.328353134276733,88.31165746103792
27,190,600,90,50,10.156839923273203,-8.368966324775286,-2.33019433005449,-9.024511578489765,88.31165746103792
69,150,600,90,30,-0.2410557083067495,-6.002059015832043,-2.3758233547412653,10.472268932117675,88.31165746103792
125,160,500,80,30,1.820035624483154,0.39068886177259543,1.677915760370798,7.491645429961842,88.31165746103792
73,180,600,80,40,5.978145506357464,-6.0894645222444,2.2004450725616227,0.06630804415826752,88.31165746103792
11,120,500,80,50,-10.101146091855565,-0.19332797621360243,3.120540937094214,-10.349980266538147,88.31165746103792
119,170,500,90,30,3.4639222891645822,0.3350176584358797,-1.5279300116952284,7.748543632119575,88.31165746103792
110,160,500,90,30,1.9255039645401304,0.3031428297444343,-1.706139221516981,8.391306787432178,88.31165746103792
113,130,400,90,30,-3.8271301813286023,5.834564257486084,-1.6034169962340021,8.299883785769866,88.31165746103792
55,160,600,80,40,2.060585653648861,-6.730019037297881,2.57178276099137,-0.06127705581157006,88.31165746103792
45,160,500,80,50,2.155534488845543,-0.013750711712110508,2.554248954226086,-8.383191976151515,88.31165746103792
9,140,600,80,50,-3.9270042242944925,-8.769079718510028,3.165541424610324,-11.022613221054574,88.31165746103792
4,120,500,90,50,-11.17123136851868,-0.31335254668593926,-3.207042704511373,-11.235529587163242,88.31165746103792
26,140,500,80,50,-3.6368590197237793,-0.10346354048656625,2.8825198045915696,-9.507265679795825,88.31165746103792
