,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,0.0049505511439236274,-0.0015241706511083045,0.002952255975468783,0.007753498551602171,0.18961408272121605
19,180,600,90,50,0.004671271654796097,-0.002304610755275875,-0.0029079786319528844,-0.008196624653811931,0.18961408272121605
82,120,500,80,30,-0.007146669610666616,-3.962156662137839e-08,0.0025498975984925877,0.007470835279863607,0.18961408272121605
97,140,400,80,40,-0.00279960975098352,0.0018845034591167056,0.002474531155895139,-0.000331421922411021,0.18961408272121605
56,190,500,90,50,0.006243621715052959,-0.00010403508503449219,-0.0028036643456595504,-0.007980355217089898,0.18961408272121605
12,130,600,90,40,-0.004893581337784024,-0.0023765739562672163,-0.002808454701109844,-0.00047854949072806754,0.18961408272121605
132,160,400,90,30,0.0011307074569892259,0.0017178183517745707,-0.002720324443769285,0.007166468678354836,0.18961408272121605
65,160,500,90,40,0.001074949700362364,-7.623644535668245e-05,-0.0028886785031792747,-0.00038130467075171703,0.18961408272121605
66,180,500,80,50,0.00480400461540869,-5.143499866328005e-05,0.002686344334352775,-0.008268974338800989,0.18961408272121605
18,130,500,80,50,-0.00490373711037894,-0.0001764866493936465,0.0024716925897231706,-0.008104769295359604,0.18961408272121605
51,150,500,90,40,-0.0008853109094971931,-0.00010131861249826346,-0.002841341711388626,-0.00040397512453382335,0.18961408272121605
78,140,400,90,40,-0.0027126719673873922,0.0021958616178283374,-0.0025828260409792407,-0.0003756422935463147,0.18961408272121605
94,170,500,80,40,0.0031417105793565825,2.7736763298407546e-05,0.002798733406861601,-0.0003040687024440103,0.18961408272121605
133,190,400,80,40,0.006162192334876061,0.0014932474976110978,0.0026144047382708584,-0.00021966789653820804,0.18961408272121605
100,180,600,90,30,0.0047354649823123166,-0.0018180594318754073,-0.003080391350500075,0.007627323701373211,0.18961408272121605
64,160,400,90,50,0.0009341611891534041,0.00232236555166028,-0.0025615502869173468,-0.007712107778261645,0.18961408272121605
27,190,600,90,50,0.006374165109888537,-0.0022263046073659025,-0.0029073841314897035,-0.008112045564916412,0.18961408272121605
69,150,600,90,30,-0.0008177897283073512,-0.002002559359016838,-0.002987146171355641,0.007721555146792562,0.18961408272121605
125,160,500,80,30,0.0012830817772456551,0.0001082631075864024,0.0028046409721004875,0.007698663875477088,0.18961408272121605
73,180,600,80,40,0.005013202648482824,-0.00181121803794735,0.0029184730860700447,-0.00030869640645736843,0.18961408272121605
11,120,500,80,50,-0.006773589687013637,-0.00019916437937878353,0.002394131594413162,-0.007959989082416729,0.18961408272121605
119,170,500,90,30,0.0029910424263913243,5.239023322808553e-05,-0.0029574318599687593,0.007540726278257089,0.18961408272121605
110,160,500,90,30,0.0011620940443779273,2.8755957755317862e-05,-0.002926667969994457,0.007571623586934636,0.18961408272121605
113,130,400,90,30,-0.004561426924897999,0.001903005063672577,-0.0025533133285008773,0.00705660436810239,0.18961408272121605
55,160,600,80,40,0.0011903801005672399,-0.0019495369929382542,0.002872399541641063,-0.0003596191994515788,0.18961408272121605
45,160,500,80,50,0.0010661767975809616,-0.00010103385798882619,0.002640935141193526,-0.008322145390120916,0.18961408272121605
9,140,600,80,50,-0.003000080836698407,-0.0022683132343789825,0.002636622563333746,-0.008353410354434897,0.18961408272121605
4,120,500,90,50,-0.006384921808187158,-0.00026406676288959555,-0.0024993376163673676,-0.00776578345087843,0.18961408272121605
26,140,500,80,50,-0.0029374852525000106,-0.00015211965099679037,0.0025398816578513783,-0.008215244374201423,0.18961408272121605
