,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,-0.03028825031283001,0.02491782589505115,-0.009856891276625297,-0.05902998259446274,0.09625514122657478
19,180,600,90,50,-0.06615935624499496,0.07887473583299043,0.0243721778698576,0.09122715843608603,0.09625514122657478
82,120,500,80,30,0.049471898278376704,-0.00601579243550078,-0.010779087862465524,-0.07645554449331637,0.09625514122657478
97,140,400,80,40,0.013628744599409399,-0.05342686600983143,-0.013787621820035076,-0.010592472956826289,0.09625514122657478
56,190,500,90,50,-0.08433237310654172,-0.012286518006585544,0.017980968391833205,0.061060174990755806,0.09625514122657478
12,130,600,90,40,0.050347175577189776,0.0759549881370428,0.021580782887370635,-0.0030694713187403976,0.09625514122657478
132,160,400,90,30,-0.013748935812618584,-0.026989553264187033,0.005490676828194412,-0.03407039371707167,0.09625514122657478
65,160,500,90,40,-0.036441730281027665,-0.01915689878320942,0.009422657360943654,-0.020678530287307997,0.09625514122657478
66,180,500,80,50,-0.05524921476452922,-0.006870788761880254,-0.02014568030601368,0.054379759822816884,0.09625514122657478
18,130,500,80,50,0.06734341895751032,-0.0011620090832002508,-0.03016400865201528,0.09508052375710879,0.09625514122657478
51,150,500,90,40,-0.022845239139472454,-0.02154063723670939,0.009505309698482357,-0.023413944638644657,0.09625514122657478
78,140,400,90,40,0.02002278782660142,-0.067101587508029,0.013206918791402136,-0.013069577273757507,0.09625514122657478
94,170,500,80,40,-0.03184421214818334,-0.009181517549635226,-0.011494504471775142,-0.012074894156151761,0.09625514122657478
133,190,400,80,40,-0.02830768178294723,-0.026738216852924476,-0.006726465399842708,-0.006842535061296074,0.09625514122657478
100,180,600,90,30,-0.038578557805934305,0.02984190689477448,0.00945230772796397,-0.07319812436200059,0.09625514122657478
64,160,400,90,50,-0.03437123256037013,-0.07998328274348751,0.014068396349903199,0.049794216991867875,0.09625514122657478
27,190,600,90,50,-0.07548990169617657,0.08133920092368498,0.024046256982255723,0.09374326470851278,0.09625514122657478
69,150,600,90,30,-0.0138524139726845,0.036370728985251226,0.010296410208102314,-0.10240589438239112,0.09625514122657478
125,160,500,80,30,-0.014338298302609482,-0.004341911998732644,-0.007500406571198253,-0.044987070929103846,0.09625514122657478
73,180,600,80,40,-0.05407306521742915,0.04439048309577627,-0.01718714779475704,-0.00970275895592446,0.09625514122657478
11,120,500,80,50,0.08572474410369368,-0.00930324154828365,-0.02929929247669255,0.08412010715265446,0.09625514122657478
119,170,500,90,30,-0.020790204280832163,-0.005062487632191426,0.006766384294411786,-0.05257313899152602,0.09625514122657478
110,160,500,90,30,-0.017095607971617337,-0.006469642151302343,0.007093888124606261,-0.054910772139361755,0.09625514122657478
113,130,400,90,30,0.02174662879280126,-0.04080558913527057,0.008907578077632934,-0.05509434938508396,0.09625514122657478
55,160,600,80,40,-0.022087749470180506,0.05910064254499349,-0.01870895604680603,-0.0017793268345606787,0.09625514122657478
45,160,500,80,50,-0.026497356966914003,-0.0025385303011474496,-0.020959387734377135,0.06717667622724546,0.09625514122657478
9,140,600,80,50,0.04799407206010071,0.09369243925747772,-0.022475388424160584,0.11366104758655032,0.09625514122657478
4,120,500,90,50,0.09539569321864595,0.005733237333285292,0.02906895303633065,0.10208530359435826,0.09625514122657478
26,140,500,80,50,0.03571388157084583,-0.006582700417687503,-0.030707065461513902,0.08644991552612433,0.09625514122657478
