,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,4.314713916778569,-3.0118569755554265,1.0604038556416828,8.14011826197306,89.05136947631836
19,180,600,90,50,7.4759227021535075,-8.165216563542675,-1.5745018164316775,-9.548659308751425,89.05136947631836
82,120,500,80,30,-7.449726734161366,0.09054769515990824,1.5764094607035313,9.368614762624102,89.05136947631836
97,140,400,80,40,-2.0858754158020183,7.64680798212688,2.113564624786381,1.3515259106953934,89.05136947631836
56,190,500,90,50,10.508244622548412,0.35493317286173465,-2.032367591857909,-7.46208995819092,89.05136947631836
12,130,600,90,40,-6.880591208140075,-8.909949194590256,-2.2834754816691056,-0.704587478637694,89.05136947631836
132,160,400,90,30,1.6834256712595561,3.316605106989541,-0.7081378714243565,4.548926642735796,89.05136947631836
65,160,500,90,40,5.195266726811724,2.6197876516977816,-1.2370485909779871,2.7578165086110404,89.05136947631836
66,180,500,80,50,5.729473301569623,-0.5250670782725031,2.0711782614390053,-8.167011334101355,89.05136947631836
18,130,500,80,50,-6.6012821483612,0.13309085528055853,2.786392647425334,-10.43904409726461,89.05136947631836
51,150,500,90,40,1.771364590326943,1.8556492455800315,-1.3612070878346785,1.7935034020741822,89.05136947631836
78,140,400,90,40,-3.1864961719513047,7.962545258204134,-2.1088459746042885,0.711114912033084,89.05136947631836
94,170,500,80,40,4.317082754770922,1.3167492739359465,1.5093233426411947,1.845445550282796,89.05136947631836
133,190,400,80,40,4.262331714630108,3.6593473243713337,0.9570567131042491,0.7951068687438951,89.05136947631836
100,180,600,90,30,5.658262523015349,-3.5492570209503196,-1.0068235111236543,9.544332138697309,89.05136947631836
64,160,400,90,50,4.483690363566076,9.916430384318033,-1.8358495903015077,-6.166971200307213,89.05136947631836
27,190,600,90,50,9.690984379450457,-8.438576924006142,-1.5587660185495977,-9.055748523076382,89.05136947631836
69,150,600,90,30,1.900785646438596,-4.5945685227711985,-1.570130465825394,12.30152549425761,89.05136947631836
125,160,500,80,30,1.9558421516418427,0.40620159784952303,0.8310570208231658,6.4480880419413245,89.05136947631836
73,180,600,80,40,7.093650703430182,-5.841750373840325,2.50571091969808,0.9365408198038754,89.05136947631836
11,120,500,80,50,-9.840632530848168,0.21178112347920663,2.187081842422489,-9.449573361078901,89.05136947631836
119,170,500,90,30,2.4261171309153085,0.2110910383860256,-0.8449011007944689,7.408108733495074,89.05136947631836
110,160,500,90,30,2.3484707228342643,0.5686210982004729,-0.8109416230519537,7.635922098159788,89.05136947631836
113,130,400,90,30,-3.284904826482137,5.543645741144811,-1.265118996302288,8.133154967625938,89.05136947631836
55,160,600,80,40,1.837030874888093,-8.482081178029375,2.1466535758972194,-0.5655231030782053,89.05136947631836
45,160,500,80,50,2.243014453252158,-0.856335662206015,2.25819277127584,-9.69202198346456,89.05136947631836
9,140,600,80,50,-4.063028790156057,-8.698524096806839,2.291380306879681,-11.473088375727336,89.05136947631836
4,120,500,90,50,-9.692356014251686,-0.15136283874511403,-2.218759721120196,-9.86762930552165,89.05136947631836
26,140,500,80,50,-4.246741800308239,-0.37681607246398574,2.226839303970337,-10.407229642868039,89.05136947631836
