,功率,扫描速度,扫描间隙,层厚,SHAP_功率,SHAP_扫描速度,SHAP_扫描间隙,SHAP_层厚,base_value
117,180,600,80,30,0.01834915863970915,0.002344181785980847,0.002059782557189447,0.04749996295819679,0.18575708881020547
19,180,600,90,50,0.02381208444635075,-0.046804260822633906,-0.006516485574344796,-0.060345939223965014,0.18575708881020547
82,120,500,80,30,-0.028258839802195596,0.006206325273960799,0.00604336828614273,0.06180449437970916,0.18575708881020547
97,140,400,80,40,-0.01193621418749291,0.04591878433401384,0.012931903284043053,0.01449834962065021,0.18575708881020547
56,190,500,90,50,0.0730190576488773,0.008788157403469086,-0.006767737716436389,-0.030979622739056745,0.18575708881020547
12,130,600,90,40,-0.038895142575105,-0.04592395124336083,-0.00859259516000749,-0.011146565948923427,0.18575708881020547
132,160,400,90,30,0.009903271303822576,0.007726908369610683,0.00257661544407407,0.0075112689224382245,0.18575708881020547
65,160,500,90,40,0.03155967074135942,0.017987299064795167,-0.005516365009049579,0.02236781896402438,0.18575708881020547
66,180,500,80,50,0.03909224320203064,0.0030528725435336433,0.01776229412605365,-0.039638942951957384,0.18575708881020547
18,130,500,80,50,-0.039365542189528535,-0.0015955373955269681,0.011200735239932933,-0.05387247068807483,0.18575708881020547
51,150,500,90,40,0.022939643096178793,0.01897352200622357,-0.005728021121273449,0.016800580676645034,0.18575708881020547
78,140,400,90,40,-0.0245456690713763,0.04786534835894902,-0.011974287033081066,0.009315526547531287,0.18575708881020547
94,170,500,80,40,0.028466804406295225,0.010295360566427297,0.008559140445043627,0.019235666698465742,0.18575708881020547
133,190,400,80,40,0.0212955100213488,0.015613103024661533,0.002731141584614894,0.01628826390951873,0.18575708881020547
100,180,600,90,30,0.032790543325245364,0.0005624010165532177,-0.0004873462890585302,0.059825477600097654,0.18575708881020547
64,160,400,90,50,0.03760059329370657,0.06218278647710879,-0.006482320701082549,-0.02356805345664422,0.18575708881020547
27,190,600,90,50,0.05397603389496606,-0.04444605338697634,-0.0033630133358140864,-0.048504864741116774,0.18575708881020547
69,150,600,90,30,0.016587150928874805,-0.018321288650234566,-0.007036996210614842,0.07373329437027373,0.18575708881020547
125,160,500,80,30,0.009385214385887013,0.0039000779514511315,0.002423477495710046,0.03236276047925154,0.18575708881020547
73,180,600,80,40,0.04404778571799392,-0.03237277579183381,0.014056181069463485,0.01089237321789066,0.18575708881020547
11,120,500,80,50,-0.054246038434406105,-0.0008416296665867198,0.008326854457457856,-0.05023650268713633,0.18575708881020547
119,170,500,90,30,0.0048455966450274,0.0010800151340663484,-0.0013012772239744778,0.03547768222168088,0.18575708881020547
110,160,500,90,30,0.011026243337740514,0.006875598275413123,-0.0011047630819181718,0.04153440790250898,0.18575708881020547
113,130,400,90,30,-0.010514433917899926,0.023077331595122777,-0.0010532566780845371,0.04187422778457403,0.18575708881020547
55,160,600,80,40,0.0071416714787483,-0.05267721323917309,0.013847717133661099,-0.009383206019798918,0.18575708881020547
45,160,500,80,50,0.006850598026067002,-0.009973575056840982,0.012324720912923415,-0.05622565431520342,0.18575708881020547
9,140,600,80,50,-0.018703931805988186,-0.04244440145790577,0.00874339578052361,-0.05442969333380462,0.18575708881020547
4,120,500,90,50,-0.04662972324217357,-0.002345989936341851,-0.007400072285284604,-0.051814888274918,0.18575708881020547
26,140,500,80,50,-0.023840175730486732,-0.004030286110937597,0.013970152623951437,-0.05792922152827184,0.18575708881020547
